EventId,EventTemplate,Occurrences
0,"<*> <*> <*> HTTP/1.1"" status: 200 len: <*> time: <*>",1791
1,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Creating image,1
2,[instance: <*> VM <*> (Lifecycle Event),985
3,"While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",4
4,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] <*> <*> <*> instance <*>,6
5,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,766
6,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",766
7,<*> base <*> /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,1502
8,Creating event <*> for instance <*>,196
9,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Instance <*> successfully.,2
10,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Took <*> seconds to <*>,3
11,"10.11.10.1 <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>",7452
12,"<*> ""GET /openstack/2013-10-17/user_data HTTP/1.1"" status: 404 len: 176 time: <*>",173
13,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Deletion of /var/lib/nova/instances/3edec1e4-9678-4a3a-a21b-a145a4ee5e61_del complete,1
14,HTTP exception thrown: No instances found for any event,196
15,"[instance: <*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",196
16,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] <*>,8
17,"[instance: <*> memory limit: 96258.00 MB, free: 95746.00 MB",196
18,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Total <*> <*> <*> used: 0.00 <*>,2
19,"[instance: <*> <*> limit not specified, defaulting to unlimited",392
20,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,135
21,"Total usable vcpus: 16, total allocated vcpus: <*>",135
22,Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB <*> phys_disk=15GB <*> total_vcpus=16 <*> pci_stats=[],135
23,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,135
24,[instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,384
25,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Took <*> seconds to <*>,4
26,[instance: 874ffb7b-49b3-4c6d-a2e9-35bf272650b1] <*>,8
27,[instance: 874ffb7b-49b3-4c6d-a2e9-35bf272650b1] Total <*> <*> <*> used: 0.00 <*>,2
28,[instance: 874ffb7b-49b3-4c6d-a2e9-35bf272650b1] Took <*> seconds to <*>,4
29,Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.,38
30,[instance: 748f18b4-88e3-4b60-822a-f2b25fac50b2] <*>,8
31,[instance: 748f18b4-88e3-4b60-822a-f2b25fac50b2] Total <*> <*> <*> used: 0.00 <*>,2
32,[instance: 748f18b4-88e3-4b60-822a-f2b25fac50b2] Took <*> seconds to <*>,4
33,[instance: 20ae04a8-169b-43fc-87cc-52cdf2fa77d3] <*>,8
34,[instance: 20ae04a8-169b-43fc-87cc-52cdf2fa77d3] Total <*> <*> <*> used: 0.00 <*>,2
35,[instance: 20ae04a8-169b-43fc-87cc-52cdf2fa77d3] Took <*> seconds to <*>,4
36,[instance: e15ce82b-f229-4c22-9fc3-8d30dd349cf6] <*>,8
37,[instance: e15ce82b-f229-4c22-9fc3-8d30dd349cf6] Total <*> <*> <*> used: 0.00 <*>,2
38,The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,29
39,[instance: e15ce82b-f229-4c22-9fc3-8d30dd349cf6] Took <*> seconds to <*>,4
40,[instance: 3475e6b6-0bc7-4218-84e2-e17ba43e6e0d] <*>,8
41,[instance: 3475e6b6-0bc7-4218-84e2-e17ba43e6e0d] Total <*> <*> <*> used: 0.00 <*>,2
42,[instance: 3475e6b6-0bc7-4218-84e2-e17ba43e6e0d] Took <*> seconds to <*>,4
43,[instance: 2e8c8c4a-823f-4d79-bb72-996b528cbca4] <*>,8
44,[instance: 2e8c8c4a-823f-4d79-bb72-996b528cbca4] Total <*> <*> <*> used: 0.00 <*>,2
45,[instance: 2e8c8c4a-823f-4d79-bb72-996b528cbca4] Took <*> seconds to <*>,4
46,[instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] <*>,8
47,[instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] Total <*> <*> <*> used: 0.00 <*>,2
48,[instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] Took <*> seconds to <*>,4
49,[instance: 53a49cc8-0870-47f1-a33c-8bdb40a4a5fa] <*>,8
50,[instance: 53a49cc8-0870-47f1-a33c-8bdb40a4a5fa] Total <*> <*> <*> used: 0.00 <*>,2
51,[instance: 53a49cc8-0870-47f1-a33c-8bdb40a4a5fa] Took <*> seconds to <*>,4
52,Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,74
53,[instance: ff591e5e-e6f2-4a41-84c4-99d889344f20] <*>,8
54,[instance: ff591e5e-e6f2-4a41-84c4-99d889344f20] Total <*> <*> <*> used: 0.00 <*>,2
55,[instance: ff591e5e-e6f2-4a41-84c4-99d889344f20] Took <*> seconds to <*>,4
56,[instance: 5f70629e-2759-4e41-b89d-25a1f4d16399] <*>,8
57,[instance: 5f70629e-2759-4e41-b89d-25a1f4d16399] Total <*> <*> <*> used: 0.00 <*>,2
58,[instance: 5f70629e-2759-4e41-b89d-25a1f4d16399] Took <*> seconds to <*>,4
59,[instance: 4e05e0e0-9ec3-4beb-a6f4-4e071884ec98] <*>,8
60,[instance: 4e05e0e0-9ec3-4beb-a6f4-4e071884ec98] Total <*> <*> <*> used: 0.00 <*>,2
61,[instance: 4e05e0e0-9ec3-4beb-a6f4-4e071884ec98] Took <*> seconds to <*>,4
62,[instance: df31d190-68af-4d8c-92d7-78034acae031] <*>,8
63,[instance: df31d190-68af-4d8c-92d7-78034acae031] Total <*> <*> <*> used: 0.00 <*>,2
64,[instance: df31d190-68af-4d8c-92d7-78034acae031] Took <*> seconds to <*>,4
65,[instance: 993aa6ff-b8e2-4966-a785-4e5f0fe28ce9] <*>,8
66,[instance: 993aa6ff-b8e2-4966-a785-4e5f0fe28ce9] Total <*> <*> <*> used: 0.00 <*>,2
67,[instance: 993aa6ff-b8e2-4966-a785-4e5f0fe28ce9] Took <*> seconds to <*>,4
68,[instance: af9d460c-89bf-4b71-b362-0b10adc2ff37] <*>,8
69,[instance: af9d460c-89bf-4b71-b362-0b10adc2ff37] Total <*> <*> <*> used: 0.00 <*>,2
70,[instance: af9d460c-89bf-4b71-b362-0b10adc2ff37] Took <*> seconds to <*>,4
71,[instance: f14b2b2f-4cc2-450a-8314-ab3b6f6f30a0] <*>,8
72,[instance: f14b2b2f-4cc2-450a-8314-ab3b6f6f30a0] Total <*> <*> <*> used: 0.00 <*>,2
73,[instance: f14b2b2f-4cc2-450a-8314-ab3b6f6f30a0] Took <*> seconds to <*>,4
74,[instance: b93203d4-c79b-41fe-8090-5f2b89b0d081] <*>,8
75,[instance: b93203d4-c79b-41fe-8090-5f2b89b0d081] Total <*> <*> <*> used: 0.00 <*>,2
76,"couldn't obtain the vcpu count from domain id: b93203d4-c79b-41fe-8090-5f2b89b0d081, exception: Requested operation is not valid: cpu affinity is not supported",1
77,[instance: b93203d4-c79b-41fe-8090-5f2b89b0d081] Took <*> seconds to <*>,4
78,[instance: a642a091-0eba-48db-b4aa-51f1453995d1] <*>,8
79,[instance: a642a091-0eba-48db-b4aa-51f1453995d1] Total <*> <*> <*> used: 0.00 <*>,2
80,[instance: a642a091-0eba-48db-b4aa-51f1453995d1] Took <*> seconds to <*>,4
81,[instance: d3c2c16b-f0f8-4a6c-80e9-7d293ebe4f68] <*>,8
82,[instance: d3c2c16b-f0f8-4a6c-80e9-7d293ebe4f68] Total <*> <*> <*> used: 0.00 <*>,2
83,[instance: d3c2c16b-f0f8-4a6c-80e9-7d293ebe4f68] Took <*> seconds to <*>,4
84,[instance: 8233d344-744a-47b0-84ba-b768fed29b35] <*>,8
85,[instance: 8233d344-744a-47b0-84ba-b768fed29b35] Total <*> <*> <*> used: 0.00 <*>,2
86,[instance: 8233d344-744a-47b0-84ba-b768fed29b35] Took <*> seconds to <*>,4
87,[instance: 45508f66-530a-4ee4-ab8b-ea6677246cb5] <*>,8
88,[instance: 45508f66-530a-4ee4-ab8b-ea6677246cb5] Total <*> <*> <*> used: 0.00 <*>,2
89,[instance: 45508f66-530a-4ee4-ab8b-ea6677246cb5] Took <*> seconds to <*>,4
90,[instance: 969dbe7f-36a6-422b-988b-31f9e0ccd93d] <*>,8
91,[instance: 969dbe7f-36a6-422b-988b-31f9e0ccd93d] Total <*> <*> <*> used: 0.00 <*>,2
92,[instance: 969dbe7f-36a6-422b-988b-31f9e0ccd93d] Took <*> seconds to <*>,4
93,[instance: cdd59e0a-ebc8-42d0-a603-98f17f713ed7] <*>,8
94,[instance: cdd59e0a-ebc8-42d0-a603-98f17f713ed7] Total <*> <*> <*> used: 0.00 <*>,2
95,[instance: cdd59e0a-ebc8-42d0-a603-98f17f713ed7] Took <*> seconds to <*>,4
96,[instance: f6a24803-281d-49f6-8c29-c14e71fd0650] <*>,8
97,[instance: f6a24803-281d-49f6-8c29-c14e71fd0650] Total <*> <*> <*> used: 0.00 <*>,2
98,[instance: f6a24803-281d-49f6-8c29-c14e71fd0650] Took <*> seconds to <*>,4
99,[instance: 636b44eb-4c54-4438-90a6-68a156f33b6d] <*>,8
100,[instance: 636b44eb-4c54-4438-90a6-68a156f33b6d] Total <*> <*> <*> used: 0.00 <*>,2
101,[instance: 636b44eb-4c54-4438-90a6-68a156f33b6d] Took <*> seconds to <*>,4
102,[instance: 4ed2be21-dd2b-4d7f-aaab-6461150f9907] <*>,8
103,[instance: 4ed2be21-dd2b-4d7f-aaab-6461150f9907] Total <*> <*> <*> used: 0.00 <*>,2
104,[instance: 4ed2be21-dd2b-4d7f-aaab-6461150f9907] Took <*> seconds to <*>,4
105,[instance: fac7db77-5f4b-46dd-b3ad-6f54fd90a6cf] <*>,8
106,[instance: fac7db77-5f4b-46dd-b3ad-6f54fd90a6cf] Total <*> <*> <*> used: 0.00 <*>,2
107,[instance: fac7db77-5f4b-46dd-b3ad-6f54fd90a6cf] Took <*> seconds to <*>,4
108,[instance: 2d33540d-2191-4695-9d6a-aa745ef9a1a9] <*>,8
109,[instance: 2d33540d-2191-4695-9d6a-aa745ef9a1a9] Total <*> <*> <*> used: 0.00 <*>,2
110,[instance: 2d33540d-2191-4695-9d6a-aa745ef9a1a9] Took <*> seconds to <*>,4
111,[instance: 4d59535f-5fef-48ed-a2fe-557fea4e22b0] <*>,8
112,[instance: 4d59535f-5fef-48ed-a2fe-557fea4e22b0] Total <*> <*> <*> used: 0.00 <*>,2
113,[instance: 4d59535f-5fef-48ed-a2fe-557fea4e22b0] Took <*> seconds to <*>,4
114,[instance: df20656c-8ea7-4f5c-949d-23e71f5f06bd] <*>,8
115,[instance: df20656c-8ea7-4f5c-949d-23e71f5f06bd] Total <*> <*> <*> used: 0.00 <*>,2
116,Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from 2017-05-15 <*> to 2017-05-15 <*> <*> instances.,2
117,[instance: df20656c-8ea7-4f5c-949d-23e71f5f06bd] Took <*> seconds to <*>,4
118,[instance: 56bbbaa6-d1d1-4243-bca0-be9371daceed] <*>,8
119,[instance: 56bbbaa6-d1d1-4243-bca0-be9371daceed] Total <*> <*> <*> used: 0.00 <*>,2
120,[instance: 56bbbaa6-d1d1-4243-bca0-be9371daceed] Took <*> seconds to <*>,4
121,[instance: b043f927-338a-4816-bfe2-84ba3d56ecc3] <*>,8
122,[instance: b043f927-338a-4816-bfe2-84ba3d56ecc3] Total <*> <*> <*> used: 0.00 <*>,2
123,[instance: b043f927-338a-4816-bfe2-84ba3d56ecc3] Took <*> seconds to <*>,4
124,[instance: e1ca809f-1e8e-41d6-a515-a153b9773d3e] <*>,8
125,[instance: e1ca809f-1e8e-41d6-a515-a153b9773d3e] Total <*> <*> <*> used: 0.00 <*>,2
126,[instance: e1ca809f-1e8e-41d6-a515-a153b9773d3e] Took <*> seconds to <*>,4
127,[instance: 53edb4bd-93dd-4237-8c64-ba8d8f5e3b34] <*>,8
128,[instance: 53edb4bd-93dd-4237-8c64-ba8d8f5e3b34] Total <*> <*> <*> used: 0.00 <*>,2
129,[instance: 53edb4bd-93dd-4237-8c64-ba8d8f5e3b34] Took <*> seconds to <*>,4
130,[instance: d17dcb59-d2df-443d-9acf-bea2de2e96cf] <*>,8
131,[instance: d17dcb59-d2df-443d-9acf-bea2de2e96cf] Total <*> <*> <*> used: 0.00 <*>,2
132,[instance: d17dcb59-d2df-443d-9acf-bea2de2e96cf] Took <*> seconds to <*>,4
133,[instance: 1b403aac-3d6e-49de-aacf-4548fb97f58d] <*>,8
134,[instance: 1b403aac-3d6e-49de-aacf-4548fb97f58d] Total <*> <*> <*> used: 0.00 <*>,2
135,[instance: 1b403aac-3d6e-49de-aacf-4548fb97f58d] Took <*> seconds to <*>,4
136,[instance: 1d53a142-ce58-4cb2-be87-8d46966e5f99] <*>,8
137,[instance: 1d53a142-ce58-4cb2-be87-8d46966e5f99] Total <*> <*> <*> used: 0.00 <*>,2
138,[instance: 1d53a142-ce58-4cb2-be87-8d46966e5f99] Took <*> seconds to <*>,4
139,[instance: 1aae3f11-e850-4550-9e8e-740db282d538] <*>,8
140,[instance: 1aae3f11-e850-4550-9e8e-740db282d538] Total <*> <*> <*> used: 0.00 <*>,2
141,[instance: 1aae3f11-e850-4550-9e8e-740db282d538] Took <*> seconds to <*>,4
142,[instance: 45d54c78-36c7-4a4b-b402-3daa54d446b1] <*>,8
143,[instance: 45d54c78-36c7-4a4b-b402-3daa54d446b1] Total <*> <*> <*> used: 0.00 <*>,2
144,[instance: 45d54c78-36c7-4a4b-b402-3daa54d446b1] Took <*> seconds to <*>,4
145,[instance: fc1e0afa-e01f-4892-85f5-83742a69a416] <*>,8
146,[instance: fc1e0afa-e01f-4892-85f5-83742a69a416] Total <*> <*> <*> used: 0.00 <*>,2
147,[instance: fc1e0afa-e01f-4892-85f5-83742a69a416] Took <*> seconds to <*>,4
148,[instance: aa70b8f3-122f-49f9-9d88-efcdbbd1a9d2] <*>,8
149,[instance: aa70b8f3-122f-49f9-9d88-efcdbbd1a9d2] Total <*> <*> <*> used: 0.00 <*>,2
150,[instance: aa70b8f3-122f-49f9-9d88-efcdbbd1a9d2] Took <*> seconds to <*>,4
151,[instance: 4ad93dba-0941-4a90-9eb0-7b51ce5288cd] <*>,8
152,[instance: 4ad93dba-0941-4a90-9eb0-7b51ce5288cd] Total <*> <*> <*> used: 0.00 <*>,2
153,[instance: 4ad93dba-0941-4a90-9eb0-7b51ce5288cd] Took <*> seconds to <*>,4
154,[instance: f96a82ca-483e-437a-adfd-8f9054497337] <*>,8
155,[instance: f96a82ca-483e-437a-adfd-8f9054497337] Total <*> <*> <*> used: 0.00 <*>,2
156,[instance: f96a82ca-483e-437a-adfd-8f9054497337] Took <*> seconds to <*>,4
157,[instance: be0c740e-1556-479b-b78a-8e0e9e71ebd6] <*>,8
158,[instance: be0c740e-1556-479b-b78a-8e0e9e71ebd6] Total <*> <*> <*> used: 0.00 <*>,2
159,[instance: be0c740e-1556-479b-b78a-8e0e9e71ebd6] Took <*> seconds to <*>,4
160,[instance: 7953dc44-3e59-4a77-86a6-333ad03f4efa] <*>,8
161,[instance: 7953dc44-3e59-4a77-86a6-333ad03f4efa] Total <*> <*> <*> used: 0.00 <*>,2
162,[instance: 7953dc44-3e59-4a77-86a6-333ad03f4efa] Took <*> seconds to <*>,4
163,[instance: f6a102cb-e269-4fa8-860f-19a3d13d60f5] <*>,8
164,[instance: f6a102cb-e269-4fa8-860f-19a3d13d60f5] Total <*> <*> <*> used: 0.00 <*>,2
165,[instance: f6a102cb-e269-4fa8-860f-19a3d13d60f5] Took <*> seconds to <*>,4
166,[instance: 942d95b2-843b-4199-9d3d-a68dfeba5780] <*>,8
167,[instance: 942d95b2-843b-4199-9d3d-a68dfeba5780] Total <*> <*> <*> used: 0.00 <*>,2
168,[instance: 942d95b2-843b-4199-9d3d-a68dfeba5780] Took <*> seconds to <*>,4
169,[instance: 39a1204b-e3ea-4544-bffe-c61289a5d039] <*>,8
170,[instance: 39a1204b-e3ea-4544-bffe-c61289a5d039] Total <*> <*> <*> used: 0.00 <*>,2
171,[instance: 39a1204b-e3ea-4544-bffe-c61289a5d039] Took <*> seconds to <*>,4
172,[instance: c2e493b9-a0f5-4a51-8a5e-90a38c78ab05] <*>,8
173,[instance: c2e493b9-a0f5-4a51-8a5e-90a38c78ab05] Total <*> <*> <*> used: 0.00 <*>,2
174,[instance: c2e493b9-a0f5-4a51-8a5e-90a38c78ab05] Took <*> seconds to <*>,4
175,[instance: 165779d5-2169-453e-a112-7ea28fd4ad07] <*>,8
176,[instance: 165779d5-2169-453e-a112-7ea28fd4ad07] Total <*> <*> <*> used: 0.00 <*>,2
177,[instance: 165779d5-2169-453e-a112-7ea28fd4ad07] Took <*> seconds to <*>,4
178,[instance: bbac58ce-003a-4a2b-9558-bc1b9d791fd9] <*>,8
179,[instance: bbac58ce-003a-4a2b-9558-bc1b9d791fd9] Total <*> <*> <*> used: 0.00 <*>,2
180,[instance: bbac58ce-003a-4a2b-9558-bc1b9d791fd9] Took <*> seconds to <*>,4
181,[instance: f71335e9-ba7c-4aaf-a694-5fb8f4b0971c] <*>,8
182,[instance: f71335e9-ba7c-4aaf-a694-5fb8f4b0971c] Total <*> <*> <*> used: 0.00 <*>,2
183,[instance: f71335e9-ba7c-4aaf-a694-5fb8f4b0971c] Took <*> seconds to <*>,4
184,[instance: 8b38fb89-c7eb-4f8d-8f9a-a7b77e80a5df] <*>,8
185,[instance: 8b38fb89-c7eb-4f8d-8f9a-a7b77e80a5df] Total <*> <*> <*> used: 0.00 <*>,2
186,[instance: 8b38fb89-c7eb-4f8d-8f9a-a7b77e80a5df] Took <*> seconds to <*>,4
187,[instance: edf32284-d52c-4326-a2d6-47d829ed6aea] <*>,8
188,[instance: edf32284-d52c-4326-a2d6-47d829ed6aea] Total <*> <*> <*> used: 0.00 <*>,2
189,[instance: edf32284-d52c-4326-a2d6-47d829ed6aea] Took <*> seconds to <*>,4
190,[instance: 62e51fb2-fadc-4d93-8d22-ac63e63fda25] <*>,8
191,[instance: 62e51fb2-fadc-4d93-8d22-ac63e63fda25] Total <*> <*> <*> used: 0.00 <*>,2
192,[instance: 62e51fb2-fadc-4d93-8d22-ac63e63fda25] Took <*> seconds to <*>,4
193,[instance: 74f52824-28d7-4056-8dd4-a102870729ff] <*>,8
194,[instance: 74f52824-28d7-4056-8dd4-a102870729ff] Total <*> <*> <*> used: 0.00 <*>,2
195,[instance: 74f52824-28d7-4056-8dd4-a102870729ff] Took <*> seconds to <*>,4
196,[instance: 4a903015-9dfa-43a8-bcc0-50e78262364c] <*>,8
197,[instance: 4a903015-9dfa-43a8-bcc0-50e78262364c] Total <*> <*> <*> used: 0.00 <*>,2
198,[instance: 4a903015-9dfa-43a8-bcc0-50e78262364c] Took <*> seconds to <*>,4
199,[instance: 823a5c5c-7b22-4377-a7a1-d775040907c4] <*>,8
